Institucion,Promedio,Minima,Maxima,Desviación,Moda,Tipo,Familia
Fiserv,2.3,1.79,3.0,0.22,2.4,Credito,Hoteles
Banregio,2.31,1.58,3.15,0.61,3.15,Credito,Hoteles
Inbursa,2.34,1.61,2.4,0.13,2.4,Credito,Hoteles
Bajío,2.36,1.59,4.0,0.45,2.6,Credito,Hoteles
EMS,2.37,2.05,3.0,0.55,2.05,Credito,Hoteles
Intercam Banco,2.38,1.58,3.0,0.46,2.5,Credito,Hoteles
Azteca,2.44,2.0,2.5,0.14,2.5,Credito,Hoteles
Bansí,2.5,2.5,2.5,0.0,2.5,Credito,Hoteles
Smart Payment,2.59,2.3,2.65,0.14,2.65,Credito,Hoteles
Autofin,2.6,2.2,3.01,0.57,3.01,Credito,Hoteles
Bzpay,2.68,1.9,3.3,0.6,3.3,Credito,Hoteles
Mercado Pago,3.21,1.82,3.5,0.29,2.99,Credito,Hoteles
Espiral,3.26,2.99,3.5,0.26,3.5,Credito,Hoteles
PayU Digicuenta,3.32,2.3,3.5,0.4,3.5,Credito,Hoteles
Paypal,3.4,2.4,3.65,0.3,3.5,Credito,Hoteles
Pocket,3.44,1.79,3.5,0.25,3.5,Credito,Hoteles
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Hoteles
Stripe,3.58,1.78,3.6,0.17,3.6,Credito,Hoteles
Clip,3.6,2.8,3.6,0.01,3.6,Credito,Hoteles
Banorte,0.94,0.11,2.11,0.42,0.75,Credito,Misceláneas
Banregio,1.07,0.0,2.35,0.77,2.35,Credito,Misceláneas
Multiva,1.12,0.7,2.0,0.34,0.98,Credito,Misceláneas
Afirme,1.16,0.4,1.82,0.47,1.7,Credito,Misceláneas
Mifel,1.44,0.0,2.8,0.77,2.5,Credito,Misceláneas
Azteca,1.51,0.0,2.5,0.61,1.15,Credito,Misceláneas
Bajío,1.59,0.0,2.35,0.53,1.55,Credito,Misceláneas
Bansí,1.68,1.15,2.5,0.18,1.65,Credito,Misceláneas
Autofin,1.78,0.0,1.87,0.41,1.87,Credito,Misceláneas
Adyen,1.95,1.95,1.95,0.0,1.95,Credito,Misceláneas
EVO,2.03,1.77,3.0,0.27,2.08,Credito,Misceláneas
BBVA Bancomer,2.05,0.0,2.25,0.38,2.25,Credito,Misceláneas
Getnet,2.21,1.25,3.5,0.4,2.5,Credito,Misceláneas
Fiserv,2.28,1.78,3.0,0.36,1.8,Credito,Misceláneas
Banjército,2.38,2.0,2.5,0.19,2.5,Credito,Misceláneas
Bzpay,2.46,2.0,3.3,0.4,2.0,Credito,Misceláneas
Smart Payment,2.6,2.6,2.6,0.0,2.6,Credito,Misceláneas
Inbursa,2.77,0.0,2.95,0.31,2.95,Credito,Misceláneas
Velpay,2.9,2.9,2.9,0.0,2.9,Credito,Misceláneas
Cyborgbeat,2.9,2.9,2.9,0.0,2.9,Credito,Misceláneas
EMS,2.96,1.6,3.95,0.73,3.95,Credito,Misceláneas
OEL,3.05,2.27,3.7,0.58,2.5,Credito,Misceláneas
Espiral,3.37,2.99,3.5,0.22,3.5,Credito,Misceláneas
PayU Digicuenta,3.47,2.9,3.5,0.11,3.5,Credito,Misceláneas
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Misceláneas
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Misceláneas
Pocket,3.5,1.8,3.5,0.07,3.5,Credito,Misceláneas
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Misceláneas
Clip,3.6,3.0,3.6,0.0,3.6,Credito,Misceláneas
Paypal,3.65,3.65,3.65,0.0,3.65,Credito,Misceláneas
Banregio,1.16,0.03,2.3,0.85,2.3,Credito,Médicos y dentistas
Multiva,1.2,0.7,1.85,0.33,0.98,Credito,Médicos y dentistas
Banorte,1.24,0.0,2.38,0.63,0.75,Credito,Médicos y dentistas
BBVA Bancomer,1.25,0.0,1.95,0.17,1.2,Credito,Médicos y dentistas
Afirme,1.4,0.49,1.8,0.43,1.7,Credito,Médicos y dentistas
Mifel,1.74,0.0,2.8,0.62,1.95,Credito,Médicos y dentistas
Banjército,1.84,1.26,2.0,0.23,2.0,Credito,Médicos y dentistas
Autofin,1.96,1.8,2.0,0.06,2.0,Credito,Médicos y dentistas
EVO,2.14,1.76,3.0,0.33,2.08,Credito,Médicos y dentistas
Bajío,2.22,0.0,2.6,0.39,2.6,Credito,Médicos y dentistas
Bzpay,2.27,1.8,2.9,0.35,1.98,Credito,Médicos y dentistas
Velpay,2.32,1.8,2.9,0.4,1.8,Credito,Médicos y dentistas
Inbursa,2.35,0.0,2.5,0.23,2.5,Credito,Médicos y dentistas
Bansí,2.41,1.15,2.5,0.3,2.5,Credito,Médicos y dentistas
Getnet,2.42,1.41,3.5,0.54,2.02,Credito,Médicos y dentistas
Azteca,2.45,0.0,2.5,0.35,2.5,Credito,Médicos y dentistas
Fiserv,2.51,1.79,3.0,0.26,2.69,Credito,Médicos y dentistas
Cyborgbeat,2.9,2.9,2.9,0.0,2.9,Credito,Médicos y dentistas
Mercado Pago,3.22,1.79,3.5,0.3,2.99,Credito,Médicos y dentistas
Espiral,3.25,2.99,3.5,0.26,3.5,Credito,Médicos y dentistas
EMS,3.27,1.99,3.95,0.78,3.95,Credito,Médicos y dentistas
PayU Digicuenta,3.47,2.0,3.5,0.16,3.5,Credito,Médicos y dentistas
Pocket,3.48,1.8,3.5,0.12,3.5,Credito,Médicos y dentistas
Paypal,3.5,2.9,3.5,0.01,3.5,Credito,Médicos y dentistas
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Médicos y dentistas
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Médicos y dentistas
Stripe,3.6,2.4,3.6,0.07,3.6,Credito,Médicos y dentistas
Clip,3.6,2.7,3.6,0.0,3.6,Credito,Médicos y dentistas
Autofin,2.06,1.53,3.36,0.41,1.8,Credito,Otros
Adyen,2.1,1.85,2.5,0.19,2.0,Credito,Otros
Banjército,2.14,1.65,4.0,0.49,1.8,Credito,Otros
EVO,2.16,1.76,3.03,0.19,2.13,Credito,Otros
Getnet,2.16,1.58,3.5,0.33,2.02,Credito,Otros
Banregio,2.2,1.53,2.75,0.48,2.75,Credito,Otros
Mifel,2.23,1.53,2.8,0.35,2.5,Credito,Otros
Multiva,2.24,1.55,3.36,0.45,2.2,Credito,Otros
BBVA Bancomer,2.25,1.53,2.38,0.16,2.25,Credito,Otros
Afirme,2.27,1.55,3.9,0.3,2.4,Credito,Otros
Banorte,2.27,1.53,2.98,0.33,2.58,Credito,Otros
Intercam Banco,2.44,1.58,3.0,0.45,3.0,Credito,Otros
Fiserv,2.46,1.78,3.0,0.29,2.65,Credito,Otros
Bzpay,2.46,1.88,3.35,0.3,2.5,Credito,Otros
Inbursa,2.5,1.53,2.79,0.31,2.79,Credito,Otros
Velpay,2.57,1.89,3.4,0.45,2.5,Credito,Otros
Bajío,2.61,1.53,4.0,0.47,2.9,Credito,Otros
Ebanx,2.7,2.05,3.43,0.39,2.88,Credito,Otros
Dlocal,2.71,2.0,3.4,0.59,2.0,Credito,Otros
Pago Fácil,2.85,2.4,3.5,0.52,2.4,Credito,Otros
Cyborgbeat,2.87,2.1,3.6,0.39,2.5,Credito,Otros
Azteca,2.88,1.6,3.08,0.21,2.99,Credito,Otros
EMS,3.0,1.55,3.95,0.62,3.95,Credito,Otros
OEL,3.11,2.99,3.5,0.21,3.0,Credito,Otros
Mercado Pago,3.22,1.69,3.69,0.31,2.99,Credito,Otros
Espiral,3.22,2.99,3.5,0.25,2.99,Credito,Otros
PayU Digicuenta,3.47,1.87,3.5,0.14,3.5,Credito,Otros
Pocket,3.48,1.79,3.5,0.15,3.5,Credito,Otros
Paypal,3.5,2.15,3.65,0.02,3.5,Credito,Otros
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Otros
Stripe,3.58,2.0,3.6,0.15,3.6,Credito,Otros
Clip,3.6,2.0,3.6,0.0,3.6,Credito,Otros
Inbursa,1.51,1.5,2.45,0.09,1.5,Credito,Peaje
BBVA Bancomer,1.65,1.38,2.31,0.14,1.75,Credito,Peaje
EVO,1.8,1.8,1.8,0.0,1.8,Credito,Peaje
Fiserv,1.85,1.85,1.85,0.0,1.85,Credito,Peaje
Afirme,1.98,1.3,2.0,0.12,2.0,Credito,Peaje
Banorte,2.02,1.35,2.8,0.47,1.8,Credito,Peaje
Getnet,2.02,1.76,2.4,0.14,1.98,Credito,Peaje
Banregio,2.6,1.62,2.8,0.48,2.8,Credito,Peaje
Bzpay,3.3,3.3,3.3,0.0,3.3,Credito,Peaje
PayU Digicuenta,3.5,3.5,3.5,0.0,3.5,Credito,Peaje
Pocket,3.5,3.5,3.5,0.0,3.5,Credito,Peaje
Banregio,0.88,0.0,2.3,0.8,2.3,Credito,Refacciones y ferreterías
Banorte,0.93,0.0,2.06,0.46,0.75,Credito,Refacciones y ferreterías
Multiva,0.99,0.7,1.5,0.14,0.98,Credito,Refacciones y ferreterías
Afirme,1.15,0.49,1.75,0.47,1.7,Credito,Refacciones y ferreterías
Mifel,1.18,0.0,2.8,0.74,1.1,Credito,Refacciones y ferreterías
Bajío,1.74,0.0,2.45,0.55,2.2,Credito,Refacciones y ferreterías
Autofin,1.96,1.8,2.1,0.11,2.0,Credito,Refacciones y ferreterías
Velpay,2.03,2.0,2.05,0.03,2.05,Credito,Refacciones y ferreterías
Adyen,2.11,2.11,2.11,0.0,2.11,Credito,Refacciones y ferreterías
BBVA Bancomer,2.12,0.0,2.28,0.34,2.25,Credito,Refacciones y ferreterías
EVO,2.13,1.76,3.03,0.28,2.08,Credito,Refacciones y ferreterías
Getnet,2.22,1.15,3.5,0.45,2.5,Credito,Refacciones y ferreterías
Fiserv,2.24,1.78,3.0,0.4,1.8,Credito,Refacciones y ferreterías
Inbursa,2.38,0.0,2.5,0.23,2.5,Credito,Refacciones y ferreterías
Azteca,2.45,0.0,2.5,0.36,2.5,Credito,Refacciones y ferreterías
Bansí,2.5,2.5,2.5,0.0,2.5,Credito,Refacciones y ferreterías
Banjército,2.51,1.71,2.9,0.33,2.8,Credito,Refacciones y ferreterías
Bzpay,2.55,1.9,3.3,0.68,1.9,Credito,Refacciones y ferreterías
Cyborgbeat,2.9,2.9,2.9,0.0,2.9,Credito,Refacciones y ferreterías
EMS,2.9,1.9,3.95,0.67,2.45,Credito,Refacciones y ferreterías
Mercado Pago,3.22,1.69,3.5,0.3,2.99,Credito,Refacciones y ferreterías
Espiral,3.27,2.99,3.5,0.26,3.5,Credito,Refacciones y ferreterías
Paypal,3.37,3.0,3.65,0.3,3.65,Credito,Refacciones y ferreterías
Pocket,3.44,1.79,3.5,0.26,3.5,Credito,Refacciones y ferreterías
PayU Digicuenta,3.45,2.6,3.5,0.18,3.5,Credito,Refacciones y ferreterías
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Refacciones y ferreterías
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Refacciones y ferreterías
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Refacciones y ferreterías
Clip,3.6,2.4,3.6,0.03,3.6,Credito,Refacciones y ferreterías
Bansí,1.71,1.71,1.71,0.0,1.71,Credito,Renta de autos
Multiva,1.83,1.65,2.3,0.22,1.65,Credito,Renta de autos
EVO,2.01,1.85,2.45,0.12,1.96,Credito,Renta de autos
Getnet,2.02,1.63,3.5,0.25,1.8,Credito,Renta de autos
Adyen,2.06,2.06,2.06,0.0,2.06,Credito,Renta de autos
Mifel,2.07,1.72,2.8,0.31,1.9,Credito,Renta de autos
Bzpay,2.1,2.1,2.1,0.0,2.1,Credito,Renta de autos
BBVA Bancomer,2.12,1.58,2.4,0.27,2.4,Credito,Renta de autos
Banorte,2.16,1.6,2.71,0.29,1.9,Credito,Renta de autos
Afirme,2.18,1.7,2.8,0.32,2.3,Credito,Renta de autos
Banregio,2.26,1.58,3.0,0.58,3.0,Credito,Renta de autos
Inbursa,2.3,1.7,2.4,0.14,2.4,Credito,Renta de autos
Bajío,2.37,1.58,3.4,0.43,2.9,Credito,Renta de autos
Autofin,2.42,2.35,2.5,0.11,2.35,Credito,Renta de autos
Intercam Banco,2.47,1.9,3.0,0.4,2.5,Credito,Renta de autos
Fiserv,2.48,1.8,3.0,0.27,2.68,Credito,Renta de autos
Azteca,2.5,2.5,2.5,0.0,2.5,Credito,Renta de autos
Cyborgbeat,2.8,2.8,2.8,0.0,2.8,Credito,Renta de autos
EMS,3.0,3.0,3.0,0.0,3.0,Credito,Renta de autos
Espiral,3.31,2.99,3.5,0.26,3.5,Credito,Renta de autos
PayU Digicuenta,3.5,3.5,3.5,0.0,3.5,Credito,Renta de autos
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Renta de autos
Pocket,3.5,3.2,3.5,0.02,3.5,Credito,Renta de autos
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Renta de autos
Clip,3.6,2.6,3.6,0.03,3.6,Credito,Renta de autos
Adyen,2.16,1.95,2.45,0.22,2.35,Credito,Restaurantes
Mifel,2.17,1.76,2.8,0.29,2.5,Credito,Restaurantes
Multiva,2.18,1.76,2.97,0.37,1.9,Credito,Restaurantes
Afirme,2.2,1.79,2.9,0.23,2.4,Credito,Restaurantes
Getnet,2.21,1.76,3.5,0.32,2.0,Credito,Restaurantes
Smart Payment,2.24,1.8,2.65,0.17,2.2,Credito,Restaurantes
EVO,2.27,1.76,3.03,0.2,2.3,Credito,Restaurantes
BBVA Bancomer,2.32,1.76,2.55,0.17,2.25,Credito,Restaurantes
Intercam Banco,2.33,1.78,2.7,0.28,2.2,Credito,Restaurantes
Banorte,2.34,1.76,3.21,0.36,1.99,Credito,Restaurantes
Bansí,2.38,1.8,2.5,0.24,2.5,Credito,Restaurantes
Banjército,2.45,1.8,5.39,0.79,1.8,Credito,Restaurantes
Azteca,2.48,1.9,2.6,0.11,2.5,Credito,Restaurantes
Banregio,2.49,1.76,3.2,0.58,3.2,Credito,Restaurantes
Cyborgbeat,2.5,2.5,2.5,0.0,2.5,Credito,Restaurantes
Velpay,2.51,2.2,3.2,0.29,2.55,Credito,Restaurantes
Inbursa,2.55,1.76,3.0,0.34,3.0,Credito,Restaurantes
Bajío,2.57,1.76,4.0,0.43,2.9,Credito,Restaurantes
Fiserv,2.57,1.78,3.0,0.23,2.64,Credito,Restaurantes
Bzpay,2.58,1.9,3.3,0.33,2.5,Credito,Restaurantes
Autofin,2.59,1.76,3.31,0.31,2.6,Credito,Restaurantes
OEL,2.92,2.05,3.6,0.43,2.8,Credito,Restaurantes
EMS,3.13,1.9,3.95,0.7,3.95,Credito,Restaurantes
Mercado Pago,3.23,1.79,3.5,0.27,2.99,Credito,Restaurantes
Espiral,3.27,2.99,3.5,0.25,3.5,Credito,Restaurantes
Pocket,3.41,1.79,3.5,0.33,3.5,Credito,Restaurantes
Paypal,3.5,2.32,3.5,0.0,3.5,Credito,Restaurantes
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Restaurantes
PayU Digicuenta,3.5,3.0,3.5,0.03,3.5,Credito,Restaurantes
Stripe,3.6,2.2,3.6,0.04,3.6,Credito,Restaurantes
Clip,3.6,2.4,3.6,0.01,3.6,Credito,Restaurantes
Banregio,0.87,0.02,2.3,0.83,0.13,Credito,Salones de belleza
Multiva,1.23,0.7,1.85,0.34,0.98,Credito,Salones de belleza
Banorte,1.27,0.11,2.25,0.64,0.75,Credito,Salones de belleza
Afirme,1.38,0.0,1.8,0.43,1.7,Credito,Salones de belleza
Mifel,1.44,0.0,2.8,0.68,1.0,Credito,Salones de belleza
Banjército,1.97,1.8,2.3,0.29,1.8,Credito,Salones de belleza
Velpay,2.0,2.0,2.0,0.0,2.0,Credito,Salones de belleza
EVO,2.14,1.8,3.0,0.32,2.08,Credito,Salones de belleza
Bajío,2.16,0.0,2.6,0.5,2.6,Credito,Salones de belleza
BBVA Bancomer,2.21,0.0,2.28,0.16,2.25,Credito,Salones de belleza
Adyen,2.26,2.26,2.26,0.0,2.26,Credito,Salones de belleza
Bzpay,2.33,1.8,3.1,0.59,1.85,Credito,Salones de belleza
Getnet,2.35,1.77,3.5,0.49,2.02,Credito,Salones de belleza
Inbursa,2.36,0.0,2.5,0.28,2.5,Credito,Salones de belleza
Azteca,2.41,0.0,2.8,0.66,2.5,Credito,Salones de belleza
Fiserv,2.49,1.8,3.0,0.28,2.69,Credito,Salones de belleza
Bansí,2.5,2.5,2.5,0.0,2.5,Credito,Salones de belleza
Mercado Pago,3.22,1.69,3.5,0.3,2.99,Credito,Salones de belleza
Espiral,3.24,2.99,3.5,0.28,3.5,Credito,Salones de belleza
PayU Digicuenta,3.48,2.1,3.5,0.16,3.5,Credito,Salones de belleza
Pocket,3.48,1.8,3.5,0.14,3.5,Credito,Salones de belleza
Paypal,3.5,3.42,3.5,0.0,3.5,Credito,Salones de belleza
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Salones de belleza
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Salones de belleza
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Salones de belleza
Clip,3.6,3.0,3.6,0.0,3.6,Credito,Salones de belleza
EMS,3.69,2.9,3.95,0.53,3.95,Credito,Salones de belleza
Afirme,1.84,1.65,3.0,0.21,1.93,Credito,Supermercados
Adyen,1.98,1.85,2.12,0.19,2.12,Credito,Supermercados
Banorte,2.05,1.53,2.97,0.28,2.1,Credito,Supermercados
Multiva,2.08,1.65,2.75,0.42,2.6,Credito,Supermercados
Banjército,2.09,1.71,3.5,0.43,1.8,Credito,Supermercados
Banregio,2.09,1.53,2.96,0.52,2.96,Credito,Supermercados
Mifel,2.11,1.88,2.5,0.24,1.88,Credito,Supermercados
BBVA Bancomer,2.14,1.55,2.4,0.24,2.25,Credito,Supermercados
Azteca,2.21,1.73,2.95,0.22,2.05,Credito,Supermercados
EVO,2.24,1.79,2.93,0.22,2.37,Credito,Supermercados
Fiserv,2.31,1.79,2.95,0.45,1.79,Credito,Supermercados
Bajío,2.33,1.55,3.4,0.39,2.6,Credito,Supermercados
Getnet,2.34,1.59,3.5,0.25,2.5,Credito,Supermercados
Bzpay,2.41,2.1,3.03,0.54,2.1,Credito,Supermercados
Inbursa,2.45,1.8,2.47,0.09,2.47,Credito,Supermercados
EMS,2.74,1.99,3.0,0.42,2.9,Credito,Supermercados
Velpay,3.0,3.0,3.0,0.0,3.0,Credito,Supermercados
Mercado Pago,3.23,1.69,3.5,0.27,2.99,Credito,Supermercados
Paypal,3.26,2.78,3.65,0.34,3.42,Credito,Supermercados
Espiral,3.37,2.99,3.5,0.25,3.5,Credito,Supermercados
PayU Digicuenta,3.38,1.99,3.5,0.32,3.5,Credito,Supermercados
Pocket,3.44,2.0,3.5,0.28,3.5,Credito,Supermercados
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Supermercados
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Supermercados
Clip,3.6,2.4,3.6,0.01,3.6,Credito,Supermercados
Inbursa,1.7,1.62,2.45,0.05,1.7,Credito,Telecomunicaciones
Azteca,1.78,1.47,2.5,0.17,1.73,Credito,Telecomunicaciones
BBVA Bancomer,1.85,1.45,2.26,0.24,1.7,Credito,Telecomunicaciones
Bzpay,1.85,1.85,1.85,0.0,1.85,Credito,Telecomunicaciones
Banorte,1.86,1.6,2.56,0.22,1.8,Credito,Telecomunicaciones
EVO,1.9,1.77,2.45,0.11,1.9,Credito,Telecomunicaciones
Getnet,1.93,1.5,3.5,0.14,1.9,Credito,Telecomunicaciones
Banregio,1.99,1.55,2.7,0.46,1.55,Credito,Telecomunicaciones
Afirme,2.07,1.95,2.4,0.18,1.95,Credito,Telecomunicaciones
Mifel,2.23,2.1,2.5,0.23,2.1,Credito,Telecomunicaciones
Adyen,2.42,2.3,2.55,0.18,2.55,Credito,Telecomunicaciones
Fiserv,2.55,2.03,2.69,0.2,2.63,Credito,Telecomunicaciones
Autofin,2.6,2.6,2.6,0.0,2.6,Credito,Telecomunicaciones
Bajío,2.61,1.9,3.0,0.25,2.6,Credito,Telecomunicaciones
Multiva,2.8,2.8,2.8,0.0,2.8,Credito,Telecomunicaciones
Espiral,3.17,2.99,3.5,0.25,2.99,Credito,Telecomunicaciones
Paypal,3.18,2.43,3.65,0.46,3.42,Credito,Telecomunicaciones
EMS,3.2,3.2,3.2,0.0,3.2,Credito,Telecomunicaciones
PayU Digicuenta,3.46,2.2,3.5,0.16,3.5,Credito,Telecomunicaciones
Pocket,3.48,2.5,3.5,0.13,3.5,Credito,Telecomunicaciones
OEL,3.5,3.5,3.5,0.0,3.5,Credito,Telecomunicaciones
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Telecomunicaciones
Stripe,3.58,2.19,3.6,0.17,3.6,Credito,Telecomunicaciones
Mifel,1.82,1.82,1.82,0.0,1.82,Credito,Transporte aéreo
Intercam Banco,1.9,1.9,1.9,0.0,1.9,Credito,Transporte aéreo
Banorte,1.93,1.53,2.21,0.17,1.9,Credito,Transporte aéreo
EVO,1.96,1.79,2.74,0.14,2.0,Credito,Transporte aéreo
Getnet,1.97,1.77,3.5,0.2,1.9,Credito,Transporte aéreo
Adyen,2.05,2.05,2.05,0.0,2.05,Credito,Transporte aéreo
Inbursa,2.06,1.96,2.2,0.09,1.99,Credito,Transporte aéreo
BBVA Bancomer,2.21,1.65,2.32,0.15,2.25,Credito,Transporte aéreo
Afirme,2.22,1.6,2.4,0.31,2.4,Credito,Transporte aéreo
Banregio,2.25,1.61,2.71,0.47,2.71,Credito,Transporte aéreo
Bajío,2.49,1.55,3.2,0.43,2.6,Credito,Transporte aéreo
Azteca,2.5,2.5,2.5,0.0,2.5,Credito,Transporte aéreo
Multiva,2.69,2.5,2.82,0.17,2.82,Credito,Transporte aéreo
Bzpay,2.7,2.7,2.7,0.0,2.7,Credito,Transporte aéreo
Fiserv,2.77,2.73,2.83,0.05,2.73,Credito,Transporte aéreo
EMS,3.05,2.9,3.2,0.21,3.2,Credito,Transporte aéreo
Paypal,3.1,1.95,3.65,0.63,3.65,Credito,Transporte aéreo
Espiral,3.24,2.99,3.5,0.26,2.99,Credito,Transporte aéreo
Pocket,3.41,2.1,3.5,0.34,3.5,Credito,Transporte aéreo
PayU Digicuenta,3.47,2.6,3.5,0.13,3.5,Credito,Transporte aéreo
Pago Fácil,3.5,3.5,3.5,0.0,3.5,Credito,Transporte aéreo
Sr. Pago,3.5,3.5,3.5,0.0,3.5,Credito,Transporte aéreo
Stripe,3.6,3.6,3.6,0.0,3.6,Credito,Transporte aéreo
Mifel,2.09,1.53,2.8,0.35,2.5,Credito,Ventas al detalle (Retail)
EVO,2.13,1.76,3.0,0.2,2.13,Credito,Ventas al detalle (Retail)
Getnet,2.15,1.53,3.5,0.34,2.01,Credito,Ventas al detalle (Retail)
Multiva,2.16,1.53,3.14,0.42,2.5,Credito,Ventas al detalle (Retail)
BBVA Bancomer,2.18,1.53,2.38,0.23,2.25,Credito,Ventas al detalle (Retail)
Banorte,2.22,1.53,2.98,0.34,2.13,Credito,Ventas al detalle (Retail)
Adyen,2.22,1.85,2.5,0.21,2.5,Credito,Ventas al detalle (Retail)
Afirme,2.25,1.53,3.9,0.3,2.4,Credito,Ventas al detalle (Retail)
Banregio,2.28,1.53,2.75,0.48,2.75,Credito,Ventas al detalle (Retail)
Smart Payment,2.28,2.15,2.35,0.09,2.35,Credito,Ventas al detalle (Retail)
Fiserv,2.29,1.76,3.0,0.35,2.55,Credito,Ventas al detalle (Retail)
